Against	Beneficiary	TotalCount	TotalYards
N.Y. Giants	Jacksonville	4	25
Jacksonville	N.Y. Giants	3	20
Buffalo	Pittsburgh	4	20
Pittsburgh	Buffalo	10	107
Tennessee	Houston	10	79
Houston	Tennessee	6	68
Washington	Minnesota	6	35
Minnesota	Washington	3	15
Chicago	Philadelphia	6	56
Philadelphia	Chicago	3	19
Green Bay	Atlanta	8	66
Atlanta	Green Bay	4	50
Tampa Bay	Baltimore	9	78
Baltimore	Tampa Bay	4	30
Carolina	Cleveland	8	68
Cleveland	Carolina	5	46
Kansas City	Seattle	5	50
Seattle	Kansas City	3	26
Oakland	Miami	4	20
Miami	Oakland	5	35
Denver	St. Louis	6	60
St. Louis	Denver	4	30
San Diego	Indianapolis	4	40
Indianapolis	San Diego	1	15
